"","SF/CAT","LU/PR","","","","","","","","","","","","","","","","","",""
"1","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function","Physical_Function"
"38","8a","LU","84.7","83.1","83.4","84","84.2","81.2","84.3","84.5","84.3","82.9","84","88.6","84","79.9","77.7","71.2","69.2","69"
"39","8a","PR","84","83.6","83.9","83.6","83.8","80.4","83.8","84.8","84.3","82.5","83.9","88","84.2","80.1","77.6","71.3","69.1","68.9"
"40","13a","LU","85","83.8","82.1","85.2","85.2","84.8","85.4","86.1","82.1","83.5","85.8","87.6","85.6","84.3","81.8","82.3","80.7","82"
"41","13a","PR","84.1","82.8","81.8","84","84.6","84.2","85.6","85.1","82.1","83.7","84.4","87.3","85.2","83.4","81.4","80.6","78.7","80.2"
"42","CAT",NA,"84","84","83.2","83.4","83.7","84.6","83.9","84.9","83.5","83.9","83.1","88.2","85.8","84","82.2","81.5","82","82"
"43","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability","Ability"
"44",NA,NA,"50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean"
"45",NA,NA,"+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8"
"46","4a","LU","82.2","82.8","83.9","81.7","85.1","85.4","56.4","60.7","64","69.6","71.3","77","88","84.2","84","81.8","82.5","83.4"
"47","4a","PR","82.4","82.6","84","81.3","84.8","85.2","56.4","60.8","64.2","69.5","71.2","77.1","87.3","83.1","83","80.9","81","82.7"
"48","6a","LU","83.7","84.1","84","81.9","85.5","84.9","59.5","65.2","68.4","70.9","75.3","79.3","86.2","83.2","84.4","81.5","81.4","83.3"
"49","6a","PR","83.4","84.1","83.3","82.1","85","84.6","59.5","65.1","68.1","71.1","74.5","79.3","86.2","83","83.8","80.9","80.7","83.1"
"50","8a","LU","84.3","84.9","83.8","83.1","85","85.7","61.9","66.3","70.9","72.9","76.3","79.7","87.6","83.9","84.6","82.5","82.1","83.7"
"51","8a","PR","83.9","84.8","83","83.1","84.5","85.7","62.2","66.2","70.7","72.6","75.6","79.2","87.2","84","84.4","82.6","82.3","83.5"
"52","CAT",NA,"84.1","84.6","84.3","82.3","83.4","85","72","73.4","78","77.8","79.8","83","86.4","83.8","85.2","82.3","84.2","86.1"
"53","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety"
"54",NA,NA,"50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean"
"55",NA,NA,"+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8"
"56","4a","LU","84.8","83.1","80.6","75.6","73.1","70.9","86.2","83.6","84.5","85.3","83.6","83.9","63","58.2","49.3","42.3","37.5","33.3"
"57","4a","PR","84.8","82.4","80.3","74.8","73","70.2","85.8","83.6","84.8","85.2","83.2","83.4","63.1","58","49.2","42.2","37.4","32.9"
"58","6a","LU","83.2","83.7","81.7","77.6","75.3","74.9","82.9","82.2","82.4","83.5","83.1","84.8","68","60.9","54.8","49.6","45.4","41"
"59","6a","PR","85","84.8","82.9","78.7","77.1","76.3","83.6","83.4","83.7","84.9","84.6","86.3","68.8","62.4","56","50.4","46.2","41.3"
"60","7a","LU","86","83.5","82.9","82.4","81","82.7","84.8","82.1","82.8","83.3","83.3","85.2","76.8","73.7","67.5","64.8","59.5","59.7"
"61","7a","PR","86","84.4","83.7","83.2","81.7","83.7","85","82.7","83.3","83.5","83.8","85.7","77.2","74.5","68.4","65.3","60","60.2"
"62","8a","LU","86.5","86.6","85.1","82.1","80.6","82.1","87.1","85.6","85.9","85.5","85.9","88.8","75.4","70.9","64.9","59.8","55.5","54.1"
"63","8a","PR","85.8","84.6","83.7","81.4","80.3","82.4","85.1","83.7","83.1","83.6","85.2","86.9","75.5","71","65","60.6","55.5","54.4"
"64","CAT",NA,"85.6","85.2","83","83","83.2","86","84.7","83.1","84","82.8","83.7","84.5","83.7","81.5","78.9","75.8","76.2","76.1"
"65","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression","Depression"
"66",NA,NA,"50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean"
"67",NA,NA,"+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8"
"68","4a","LU","81.7","81","76.3","72.3","67.1","66.8","85.6","84.5","84.8","83.7","84.3","85.1","58.7","51","46.1","39.4","32","30.3"
"69","4a","PR","82.9","81.7","76.7","74.4","68.3","67.8","85.5","84.6","84.8","83.4","84.3","85.8","60.1","52","46.9","39.9","32.4","30.6"
"70","6a","LU","84.3","84.9","83.8","81.5","81.3","79.2","84","82.9","84.7","82.5","85","87.3","74.4","69.6","61.7","57.8","49.9","47.3"
"71","6a","PR","83.8","84","82","80.5","80.2","78.1","84.1","83.2","84.9","82.6","84.8","86.4","73.3","68.2","61.1","57.3","49.4","47"
"72","8a","LU","82.9","83.9","83.1","79.5","80.4","78.7","83.5","83","84.8","83.3","84.6","86","73.1","69.1","62","56.5","49.4","46.6"
"73","8a","PR","85.1","84.9","83.5","80.2","81.6","79.9","84.2","83.1","85","84","85","86","73.8","69.8","63.1","57.4","49.9","47.4"
"74","8b","LU","84.8","84.5","83.6","79.9","81.6","80.8","85.1","82","84.1","83.1","84.2","85.3","76.9","71.9","65.3","62","54.9","51.8"
"75","8b","PR","84.6","84.4","83.1","79.9","82.1","82","84.7","82.6","84.2","83.3","84.8","85.9","77.2","72.2","65.7","62.8","54.8","52.1"
"76","CAT",NA,"85.1","83.3","83","81.9","83.4","85","85.3","84.4","85","83.2","85.4","85.9","81.8","79.8","76.9","74.4","69.2","68.5"
