"","SF/CAT","LU/PR","","","","","","","","","","","","","","","","","",""
"18",NA,NA,"50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean"
"19",NA,NA,"+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8"
"20","4a","LU","7.24, d=0.72","4.05, d=0.41","1.1, d=0.12","-1.93, d=-0.23","-3.96, d=-0.53","-5.61, d=-0.91","6.93, d=0.79","4.07, d=0.43","1.85, d=0.19","-2.04, d=-0.2","-5.3, d=-0.54","-7.58, d=-0.77","4.32, d=0.51","2.69, d=0.35","0.83, d=0.13","-0.65, d=-0.14","-1.4, d=-0.37","-2.05, d=-0.83"
"21","4a","PR","7.26, d=0.72","4.06, d=0.41","1.1, d=0.12","-1.9, d=-0.23","-3.97, d=-0.53","-5.62, d=-0.91","6.93, d=0.79","4.06, d=0.43","1.86, d=0.2","-2.04, d=-0.2","-5.31, d=-0.54","-7.59, d=-0.77","4.32, d=0.51","2.69, d=0.35","0.84, d=0.13","-0.65, d=-0.14","-1.41, d=-0.38","-2.04, d=-0.83"
"22","6a","LU","7.46, d=0.74","4.25, d=0.43","1.16, d=0.12","-1.91, d=-0.22","-3.98, d=-0.52","-5.71, d=-0.89","6.99, d=0.79","4.05, d=0.43","1.82, d=0.19","-2.07, d=-0.2","-5.44, d=-0.55","-7.69, d=-0.78","4.49, d=0.52","2.76, d=0.35","0.81, d=0.12","-0.75, d=-0.15","-1.54, d=-0.39","-2.18, d=-0.83"
"23","6a","PR","7.49, d=0.74","4.24, d=0.43","1.16, d=0.12","-1.89, d=-0.22","-3.98, d=-0.52","-5.72, d=-0.9","7, d=0.79","4.05, d=0.43","1.83, d=0.19","-2.07, d=-0.2","-5.45, d=-0.55","-7.7, d=-0.78","4.49, d=0.52","2.76, d=0.35","0.82, d=0.12","-0.75, d=-0.15","-1.54, d=-0.39","-2.18, d=-0.82"
"24","6b","LU","7.58, d=0.75","4.31, d=0.43","1.19, d=0.13","-1.72, d=-0.2","-4.02, d=-0.53","-5.54, d=-0.85","7.27, d=0.79","4.17, d=0.43","1.83, d=0.19","-1.95, d=-0.19","-5.46, d=-0.55","-7.81, d=-0.79","4.84, d=0.56","2.81, d=0.36","1, d=0.15","-0.48, d=-0.09","-1.42, d=-0.36","-2.14, d=-0.78"
"25","6b","PR","7.58, d=0.75","4.3, d=0.43","1.18, d=0.12","-1.73, d=-0.2","-4.02, d=-0.53","-5.56, d=-0.85","7.26, d=0.79","4.22, d=0.44","1.87, d=0.2","-1.96, d=-0.19","-5.47, d=-0.55","-7.81, d=-0.79","4.82, d=0.56","2.81, d=0.36","1, d=0.15","-0.49, d=-0.1","-1.42, d=-0.36","-2.13, d=-0.78"
"26","8a","LU","7.59, d=0.75","4.32, d=0.44","1.22, d=0.13","-1.99, d=-0.23","-4, d=-0.52","-5.83, d=-0.89","7.15, d=0.8","4.17, d=0.44","1.87, d=0.2","-2.01, d=-0.2","-5.43, d=-0.55","-7.75, d=-0.78","4.8, d=0.55","2.8, d=0.35","0.94, d=0.14","-0.7, d=-0.14","-1.61, d=-0.4","-2.26, d=-0.82"
"27","8a","PR","7.61, d=0.76","4.32, d=0.44","1.21, d=0.13","-1.98, d=-0.23","-4.01, d=-0.52","-5.84, d=-0.89","7.14, d=0.8","4.16, d=0.44","1.89, d=0.2","-2, d=-0.2","-5.45, d=-0.55","-7.76, d=-0.78","4.79, d=0.54","2.8, d=0.35","0.95, d=0.14","-0.7, d=-0.14","-1.62, d=-0.4","-2.27, d=-0.82"
